id,gender,citizenship,employment_and_or_business_information,additional_household_member_source_of_income,do_you_have_a_co_borrower,my_spouse_is_my_co_borrower,business_gross_sales,salary,business_net_income,commission,other_income,incentive_commission,other_gig_work_salary,other_income_pension_remittance,total_cash_inflow,miscellaneous,clothing,rental_expenses,salaries_helper,transportation,utilities,household_premium,loan_payments,fuel_lpg,medical_expenses,food_expenses,other_expenses,education_expenses,total_cash_outflow,net_income,years_in_residence,home_ownership,agency_years,marital_status,no_of_children,with_children_attending_school,how_many_years_in_the_company,position,outstanding_obligation_other_loans,do_you_have_deposit_or_credit_cards_with_other_bank
265.0,Male,Filipino,Probationary,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0.0,8181.0,818.0,818.0,82.0,0.0,0.0,0.0,9899.0,81.0,72.0,81.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,818.0,0.0,91.0,1214.0,8685.0,6-12 months,Owned,Less than a year,Married,0-1,Yes,Less than 1 year,Professional/Non-Officer/Skilled,71.0,Yes
298.0,Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0.0,22276.0,0.0,0.0,5785.0,0.0,0.0,0.0,28061.0,10000.0,1000.0,5000.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,7000.0,0.0,8000.0,34000.0,-5939.0,More than 2 years,Rented,More than 5 years,Married,0-1,Yes,More than 5 years,Professional/Managerial/Officer,0.0,No
331.0,Male,Filipino,Regular Employee,No other source of income,Yes,No,0.0,30000.0,0.0,0.0,30000.0,0.0,0.0,0.0,60000.0,1000.0,0.0,0.0,0.0,0.0,1670.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,12670.0,47330.0,More than 2 years,Others,1-5 years,Single,2-3,Yes,2-5 years,Others,0.0,No
364.0,Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0.0,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,1000.0,0.0,3500.0,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,7500.0,0.0,1400.0,15200.0,9800.0,More than 2 years,Rented,1-5 years,Married,2-3,Yes,2-5 years,Professional/Non-Officer/Skilled,0.0,No
397.0,Male,Filipino,Regular Employee,No other source of income,Yes,No,0.0,28000.0,0.0,0.0,0.0,0.0,0.0,0.0,28000.0,1000.0,0.0,2500.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,8000.0,20000.0,More than 2 years,Rented,Less than a year,Single,2-3,Yes,Less than 1 year,Others,0.0,No
398.0,Male,Filipino,Regular Employee,No other source of income,Yes,No,0.0,30000.0,0.0,6000.0,5000.0,0.0,0.0,0.0,41000.0,1000.0,500.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,8500.0,32500.0,More than 2 years,Owned,1-5 years,Single,0-1,No,2-5 years,Others,0.0,No
430.0,Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0.0,19795.0,0.0,5000.0,5000.0,0.0,0.0,0.0,29795.0,500.0,500.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,7500.0,0.0,1000.0,11000.0,18795.0,More than 2 years,Free,1-5 years,Married,0-1,Yes,2-5 years,Professional/Managerial/Officer,0.0,No
463.0,Female,Filipino,Regular Employee,No other source of income,Yes,No,0.0,25000.0,0.0,5000.0,0.0,0.0,0.0,0.0,30000.0,1000.0,0.0,3250.0,0.0,0.0,1100.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,8350.0,21650.0,More than 2 years,Rented,1-5 years,Single,0-1,No,2-5 years,Others,0.0,No
496.0,Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0.0,25000.0,0.0,4000.0,0.0,0.0,0.0,0.0,29000.0,8000.0,500.0,1600.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,2500.0,0.0,0.0,13100.0,15900.0,6-12 months,Rented,1-5 years,Single,2-3,Yes,2-5 years,Others,0.0,Yes
529.0,Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0.0,15127.0,0.0,0.0,19000.0,0.0,0.0,0.0,34127.0,1000.0,500.0,0.0,0.0,0.0,1517.0,0.0,0.0,0.0,0.0,4000.0,0.0,0.0,7017.0,27110.0,More than 2 years,Free,1-5 years,Single,0-1,No,2-5 years,Others,0.0,No
562.0,Male,Filipino,OFW/Seafarers,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0.0,443550.0,0.0,0.0,0.0,0.0,0.0,0.0,443550.0,5000.0,1000.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,15000.0,0.0,5000.0,36000.0,407550.0,6-12 months,Owned,1-5 years,Married,more than 3,No,2-5 years,Professional/Managerial/Officer,0.0,Yes
595.0,Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0.0,42590.0,0.0,0.0,0.0,0.0,0.0,0.0,42590.0,0.0,0.0,0.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,10000.0,0.0,2000.0,14500.0,28090.0,More than 2 years,Owned,1-5 years,Married,2-3,Yes,2-5 years,Others,0.0,No
628.0,Male,Filipino,Regular Employee,No other source of income,Yes,No,0.0,30000.0,0.0,0.0,12000.0,0.0,0.0,0.0,42000.0,500.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,6000.0,0.0,0.0,8000.0,34000.0,More than 2 years,Free,Less than a year,Single,0-1,No,Less than 1 year,Professional/Non-Officer/Skilled,0.0,Yes
661.0,Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0.0,56750.0,0.0,0.0,0.0,0.0,0.0,0.0,56750.0,10000.0,5000.0,0.0,0.0,0.0,8000.0,0.0,0.0,0.0,0.0,20000.0,0.0,20000.0,63000.0,-6250.0,More than 2 years,Owned,More than 5 years,Separated,2-3,No,More than 5 years,Professional/Non-Officer/Skilled,0.0,Yes
662.0,Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0.0,14000.0,0.0,0.0,15000.0,0.0,0.0,0.0,29000.0,300.0,500.0,0.0,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,4000.0,0.0,100.0,6700.0,22300.0,More than 2 years,Owned,More than 5 years,Married,more than 3,Yes,More than 5 years,Professional/Non-Officer/Skilled,0.0,Yes
694.0,Female,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0.0,13945.0,0.0,0.0,7854.5,0.0,0.0,0.0,21799.5,0.0,1000.0,4000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,7500.0,0.0,0.0,13500.0,8299.5,More than 2 years,Rented,1-5 years,Married,0-1,No,2-5 years,Professional/Non-Officer/Skilled,0.0,No
727.0,Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0.0,20000.0,0.0,3000.0,0.0,0.0,0.0,0.0,23000.0,1000.0,1000.0,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,1500.0,0.0,2500.0,7200.0,15800.0,More than 2 years,Owned,Less than a year,Separated,2-3,Yes,Less than 1 year,Others,0.0,Yes
760.0,Female,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0.0,7700.0,9500.0,15000.0,11200.0,0.0,0.0,0.0,43400.0,0.0,1000.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,4000.0,0.0,0.0,6000.0,37400.0,More than 2 years,Owned,More than 5 years,Married,more than 3,No,More than 5 years,Others,0.0,No
826.0,Male,Filipino,Regular Employee,No other source of income,Yes,No,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,1000.0,1000.0,3000.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,8500.0,31500.0,More than 2 years,Free,More than 5 years,Single,0-1,No,More than 5 years,Others,0.0,Yes
859.0,Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0.0,30000.0,30000.0,6000.0,10000.0,0.0,0.0,0.0,76000.0,1000.0,0.0,0.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,8500.0,67500.0,More than 2 years,Owned,1-5 years,Single,0-1,No,2-5 years,Others,0.0,No
892.0,Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0.0,26000.0,0.0,4500.0,0.0,0.0,0.0,0.0,30500.0,2500.0,1500.0,0.0,0.0,0.0,3500.0,0.0,0.0,0.0,0.0,3000.0,0.0,2000.0,12500.0,18000.0,More than 2 years,Owned,1-5 years,Married,0-1,Yes,2-5 years,Others,0.0,No
893.0,Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0.0,26000.0,0.0,4500.0,0.0,0.0,0.0,0.0,30500.0,2500.0,1500.0,0.0,0.0,0.0,3500.0,0.0,0.0,0.0,0.0,3000.0,0.0,2000.0,12500.0,18000.0,More than 2 years,Owned,1-5 years,Married,0-1,Yes,2-5 years,Others,0.0,No
