id,gender,citizenship,region,province,city_municipality,employment_and_or_business_information,additional_household_member_source_of_income,do_you_have_a_co_borrower,my_spouse_is_my_co_borrower,business_gross_sales,total_cash_inflow,total_cash_outflow,net_income,years_in_residence,home_ownership,business_tenure,ownership_of_business_premises,number_of_paid_employees,business_nature,marital_status,no_of_children,with_children_attending_school,outstanding_obligation_other_loans,do_you_have_deposit_or_credit_cards_with_other_bank
6042,Male,Filipino,Region XI – Davao Region,Davao del Sur,Davao City,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,65000.0,22000,43000.0,More than 2 years,Owned,2-3 years,Owned,Without paid helpers or relatives only,Others,Married,0-1,Yes,0,No
6238,Male,Filipino,NCR – National Capital Region,Metro Manila,Quezon City,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,230000.0,55000,175000.0,1-2 years,Rented,Less than 6 months,Rent-Free,With paid helpers or employees,Others,Single,0-1,No,0,Yes
6469,Male,Filipino,Region XI – Davao Region,Davao del Sur,Davao City,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,60000.0,16500,43500.0,More than 2 years,Owned,More than 3 years,Owned,Without paid helpers or relatives only,Others,Married,2-3,Yes,0,No
6568,Female,Filipino,Region III – Central Luzon,Bulacan,Bocaue,Business Owner,No other source of income,Yes,No,0,7000.0,10008200,-10001200.0,More than 2 years,Owned,6-23 months,Owned,Without paid helpers or relatives only,Others,Single,2-3,Yes,0,No
6964,Male,Filipino,NCR – National Capital Region,Metro Manila,Pasig,Business Owner,No other source of income,Yes,No,0,61079.0,4000,57079.0,More than 2 years,Owned,More than 3 years,Owned,With paid helpers or employees,Others,Single,0-1,No,0,Yes
7228,Female,Filipino,Region X – Northern Mindanao,Misamis Oriental,Claveria,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,39500.0,16700,22800.0,More than 2 years,Owned,6-23 months,Owned,Without paid helpers or relatives only,Business and Information ,Married,more than 3,Yes,1400,Yes
7261,Female,Filipino,Region X – Northern Mindanao,Misamis Oriental,Claveria,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,165000.0,11500,153500.0,More than 2 years,Owned,More than 3 years,Owned,With paid helpers or employees,Others,Married,2-3,No,0,Yes
7360,Female,Filipino,NCR – National Capital Region,Metro Manila,Manila,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,100000.0,15150,84850.0,More than 2 years,Owned,More than 3 years,Owned,Without paid helpers or relatives only,Food and Hospitality,Married,2-3,Yes,0,Yes
7921,Female,Filipino,Region VI – Western Visayas,Negros Occidental,Silay,Business Owner,No other source of income,Yes,No,0,479000.0,14500,464500.0,More than 2 years,Owned,More than 3 years,Owned,Without paid helpers or relatives only,Others,Single,0-1,No,17000,Yes
7922,Female,Filipino,Region VI – Western Visayas,Negros Occidental,Silay,Business Owner,No other source of income,Yes,No,0,479000.0,14500,464500.0,More than 2 years,Owned,More than 3 years,Owned,Without paid helpers or relatives only,Others,Single,0-1,No,17000,Yes
7956,Male,Filipino,Region XI – Davao Region,Davao del Sur,Davao City,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,51000.0,10600,40400.0,More than 2 years,Owned,2-3 years,Owned,Without paid helpers or relatives only,Others,Single,0-1,No,0,No
7957,Male,Filipino,Region XI – Davao Region,Davao del Sur,Davao City,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,50000.0,12000,38000.0,More than 2 years,Owned,More than 3 years,Owned,Without paid helpers or relatives only,Others,Married,0-1,Yes,0,No
8482,Male,Filipino,Region VI – Western Visayas,Negros Occidental,Cadiz,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,55000.0,11230,43770.0,More than 2 years,Owned,More than 3 years,Rented,Without paid helpers or relatives only,Education ,Married,2-3,Yes,1200,Yes
8485,Male,Filipino,Region VI – Western Visayas,Negros Occidental,Bacolod City,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,57000.0,3700,53300.0,More than 2 years,Owned,More than 3 years,Owned,Without paid helpers or relatives only,Food and Hospitality,Married,0-1,,0,No
8500,Female,Filipino,Region VI – Western Visayas,Negros Occidental,Bacolod City,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,105000.0,48000,57000.0,More than 2 years,Owned,2-3 years,Owned,With paid helpers or employees,Others,Married,2-3,Yes,0,Yes
8515,Female,Filipino,Region VI – Western Visayas,Negros Occidental,Talisay,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,59000.0,12000,47000.0,More than 2 years,Owned,More than 3 years,Owned,Without paid helpers or relatives only,Others,Married,0-1,Yes,2300,Yes
8615,Female,Filipino,NCR – National Capital Region,Metro Manila,Makati,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,68000.0,8400,59600.0,More than 2 years,Free,Less than 6 months,Rent-Free,With paid helpers or employees,Others,Single,0-1,No,10208,Yes
