id,gender,citizenship,region,province,city_municipality,employment_and_or_business_information,additional_household_member_source_of_income,do_you_have_a_co_borrower,my_spouse_is_my_co_borrower,business_gross_sales,total_cash_inflow,total_cash_outflow,net_income,years_in_residence,home_ownership,agency_years,marital_status,no_of_children,with_children_attending_school,how_many_years_in_the_company,position,outstanding_obligation_other_loans,do_you_have_deposit_or_credit_cards_with_other_bank
6007,Female,Filipino,Region III – Central Luzon,Bulacan,Meycauayan,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,50000.0,59000,-9000.0,More than 2 years,Owned,1-5 years,Married,2-3,Yes,2-5 years,Professional/Managerial/Officer,0,Yes
6012,Female,Filipino,NCR – National Capital Region,Metro Manila,Valenzuela,Regular Employee,No other source of income,Yes,No,0,17000.0,4500,12500.0,More than 2 years,Owned,Less than a year,Single,0-1,No,Less than 1 year,Professional/Non-Officer/Skilled,0,Yes
6013,Female,Filipino,Region VI – Western Visayas,Negros Occidental,Silay,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,28000.0,6000,22000.0,More than 2 years,Owned,1-5 years,Married,2-3,Yes,2-5 years,Professional/Non-Officer/Skilled,5000,No
6014,Male,Filipino,Region III – Central Luzon,Bulacan,San Jose del Monte,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,80000.0,9000,71000.0,More than 2 years,Free,More than 5 years,Married,2-3,Yes,More than 5 years,Others,0,No
6015,Female,Filipino,Region IV‑A – CALABARZON,Rizal,Angono,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,70000.0,27000,43000.0,More than 2 years,Owned,1-5 years,Married,0-1,Yes,2-5 years,Professional/Managerial/Officer,5000,Yes
6016,Female,Filipino,Region III – Central Luzon,Bulacan,Meycauayan,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,50000.0,48500,1500.0,More than 2 years,Owned,1-5 years,Married,2-3,Yes,2-5 years,Professional/Managerial/Officer,0,No
6017,Female,Filipino,Region XI – Davao Region,Davao del Sur,Davao City,Regular Employee,No other source of income,Yes,No,0,30000.0,14500,15500.0,More than 2 years,Rented,More than 5 years,Single,0-1,No,More than 5 years,Professional/Non-Officer/Skilled,1900,Yes
6018,Male,Filipino,Region III – Central Luzon,Pampanga,Mabalacat,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,34200.0,2850,31350.0,More than 2 years,Free,Less than a year,Single,0-1,No,Less than 1 year,Others,0,No
6019,Female,Filipino,Region VI – Western Visayas,Negros Occidental,Talisay,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,20000.0,4000,16000.0,More than 2 years,Owned,More than 5 years,Married,0-1,Yes,More than 5 years,Professional/Non-Officer/Skilled,0,No
6020,Female,Filipino,Region VI – Western Visayas,Negros Occidental,Bacolod City,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,53875.0,12500,41375.0,More than 2 years,Owned,More than 5 years,Single,0-1,No,More than 5 years,Professional/Non-Officer/Skilled,0,No
6021,Female,Filipino,Region VII – Central Visayas,Cebu,Consolacion,Regular Employee,No other source of income,Yes,No,0,25000.0,3000,22000.0,More than 2 years,Owned,1-5 years,Single,0-1,No,2-5 years,Professional/Non-Officer/Skilled,0,No
6022,Male,Filipino,Region III – Central Luzon,Pampanga,Magalang,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,39000.0,12300,26700.0,More than 2 years,Owned,1-5 years,Married,2-3,Yes,1-2 years,Others,0,No
6023,Male,Filipino,Region III – Central Luzon,Pampanga,Mabalacat,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,325000.0,13000,312000.0,More than 2 years,Owned,1-5 years,Single,0-1,No,1-2 years,Professional/Managerial/Officer,0,No
6024,Female,Filipino,Region VI – Western Visayas,Negros Occidental,Silay,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,19500.0,10000,9500.0,More than 2 years,Owned,1-5 years,Married,0-1,Yes,1-2 years,Others,0,No
6028,Female,Filipino,Region III – Central Luzon,Pampanga,Mabalacat,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,11000.0,6500,4500.0,More than 2 years,Owned,1-5 years,Married,0-1,Yes,2-5 years,Professional/Non-Officer/Skilled,0,Yes
6032,Female,Filipino,Region VI – Western Visayas,Negros Occidental,Silay,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,48983.0,12000,36983.0,More than 2 years,Owned,More than 5 years,Married,0-1,Yes,More than 5 years,Professional/Managerial/Officer,0,No
6034,Male,Filipino,Region VI – Western Visayas,Iloilo,Lambunao,OFW/Seafarers,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,50000.0,10000,40000.0,More than 2 years,Owned,Less than a year,Single,0-1,,Less than 1 year,Professional/Non-Officer/Skilled,0,Yes
6038,Female,Filipino,Region IV‑A – CALABARZON,Laguna,Santa Rosa,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,22550.0,4500,18050.0,More than 2 years,Rented,1-5 years,Single,0-1,No,1-2 years,Others,0,No
6039,Male,Filipino,NCR – National Capital Region,Metro Manila,Pasig,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,24159.0,9500,14659.0,More than 2 years,Owned,1-5 years,Single,0-1,No,2-5 years,Others,0,No
6040,Female,Filipino,Region III – Central Luzon,Bulacan,Santa Maria,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,32000.0,7500,24500.0,More than 2 years,Owned,1-5 years,Married,0-1,Yes,1-2 years,Professional/Managerial/Officer,0,Yes
6041,Male,Filipino,NCR – National Capital Region,Metro Manila,Quezon City,Regular Employee,No other source of income,Yes,No,0,279060.0,4950,274110.0,More than 2 years,Owned,Less than a year,Single,0-1,No,Less than 1 year,Others,0,No
6043,Female,Filipino,Region VI – Western Visayas,Iloilo,Miagao,Regular Employee,No other source of income,Yes,No,0,34000.0,4500,29500.0,More than 2 years,Owned,1-5 years,Single,2-3,Yes,1-2 years,Professional/Non-Officer/Skilled,500,No
6044,Female,Filipino,Region III – Central Luzon,Bulacan,Marilao,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,950000.0,76500,873500.0,More than 2 years,Rented,1-5 years,Married,0-1,Yes,2-5 years,Professional/Managerial/Officer,25000,Yes
6045,Female,Filipino,Region VI – Western Visayas,Negros Occidental,Silay,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,23000.0,8500,14500.0,More than 2 years,Owned,1-5 years,Single,2-3,Yes,1-2 years,Professional/Non-Officer/Skilled,0,No
6046,Male,Filipino,Region XI – Davao Region,Davao del Sur,Davao City,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,34000.0,6200,27800.0,More than 2 years,Rented,1-5 years,Single,0-1,No,2-5 years,Professional/Managerial/Officer,0,No
6047,Female,Filipino,Region VI – Western Visayas,Negros Occidental,Silay,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,20000.0,7900,12100.0,More than 2 years,Owned,More than 5 years,Single,2-3,Yes,More than 5 years,Professional/Non-Officer/Skilled,0,No
6073,Male,Filipino,Region XI – Davao Region,Davao del Sur,Davao City,Regular Employee,No other source of income,Yes,No,0,80000.0,9000,71000.0,More than 2 years,Owned,1-5 years,Single,0-1,Yes,2-5 years,Others,1500,No
